                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6317,                 2.1726,                 1.1384,                0.48497,                0.23277,                 0.2047,                0.07914,                 2.0853,                 1.8598,                 1.3777,               0.067039,             0.00033294,             0.00033294
                      1,                 1.6265,                 1.8233,                 1.1521,                0.31395,                0.33477,                0.25447,                0.10315,                 1.9592,                 1.6804,                 1.2816,               0.034006,             0.00063329,             0.00063329
                      2,                 1.5759,                 1.7654,                 1.1295,                0.29089,                0.39349,                0.27348,                0.11541,                 1.8962,                 1.5555,                 1.2705,             0.00093977,             0.00090065,             0.00090065
                      3,                 1.5654,                 1.6927,                 1.1195,                0.31594,                0.37141,                0.28018,                0.12324,                  1.884,                 1.5692,                 1.2746,              0.0008515,              0.0008515,              0.0008515
                      4,                 1.5432,                 1.6696,                 1.0964,                 0.3706,                0.37572,                0.29111,                0.12555,                  1.859,                 1.5298,                 1.2365,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.5218,                 1.6232,                 1.0988,                0.33866,                0.38627,                0.30467,                0.13233,                 1.8774,                 1.4304,                 1.2684,               0.000802,               0.000802,               0.000802
                      6,                 1.4826,                 1.5372,                 1.0739,                0.40438,                0.40845,                0.31633,                0.13996,                 1.8452,                 1.4619,                 1.2288,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.4952,                 1.5393,                 1.0851,                0.33427,                0.38094,                0.31884,                0.13937,                 1.8335,                 1.4287,                 1.2383,               0.000703,               0.000703,               0.000703
                      8,                 1.4365,                 1.4876,                   1.06,                0.34811,                0.38005,                0.32218,                0.14597,                 1.8335,                 1.4165,                 1.2127,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.4431,                  1.472,                 1.0721,                0.39565,                0.42926,                0.31325,                  0.135,                 1.8682,                 1.4791,                 1.2316,               0.000604,               0.000604,               0.000604
                     10,                 1.4333,                 1.4602,                 1.0769,                0.34871,                0.41927,                0.32957,                0.15111,                 1.8289,                 1.3796,                 1.2248,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.4395,                 1.4536,                 1.0755,                0.37471,                0.37238,                0.33376,                0.14922,                 1.8674,                 1.4373,                 1.2328,               0.000505,               0.000505,               0.000505
                     12,                 1.4308,                 1.4172,                 1.0676,                0.41354,                0.38171,                0.32937,                0.15126,                 1.8636,                 1.3905,                 1.2208,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.3996,                 1.3959,                 1.0695,                 0.3663,                0.42298,                0.32695,                0.14467,                 1.8699,                 1.4159,                 1.2437,               0.000406,               0.000406,               0.000406
                     14,                 1.3814,                 1.3344,                 1.0519,                0.43308,                0.39429,                 0.3487,                0.16317,                 1.8263,                  1.346,                 1.2102,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.3546,                 1.3001,                 1.0441,                0.36667,                0.40008,                0.34677,                0.16105,                 1.8428,                 1.3464,                 1.2112,               0.000307,               0.000307,               0.000307
                     16,                  1.349,                 1.2921,                 1.0426,                0.39583,                0.41281,                0.35447,                0.16311,                 1.7877,                 1.3151,                 1.1997,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.3239,                 1.2526,                 1.0292,                0.40223,                0.41172,                0.35752,                0.16504,                 1.7863,                 1.2957,                 1.2002,               0.000208,               0.000208,               0.000208
                     18,                 1.2971,                 1.2828,                 1.0228,                0.40814,                0.40935,                0.34557,                0.16036,                 1.8198,                 1.3211,                 1.2146,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.2888,                 1.2145,                 1.0162,                0.40749,                0.40436,                 0.3584,                0.16911,                 1.7779,                 1.2837,                  1.199,               0.000109,               0.000109,               0.000109
